BSX,Boston Scientific,Health Care,Health Care Equipment,,5.54
BSX,Boston Scientific,Health Care,Health Care Equipment,,7.33
STT,State Street Corp.,Financials,Diversified Financial Services,,80.529999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,60.669998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,90.5
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,36.0419998
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,92.019997
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,60.869999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,40.1624985
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,41.5610008
GILD,Gilead Sciences,Health Care,Biotechnology,,21.040001
BSX,Boston Scientific,Health Care,Health Care Equipment,,9.27
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,52.759998
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,24.834999
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,137.220001
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,53.6850015
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,21.559999
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,29.26
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,12.43
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,57.689999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,18.8274995
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,217.279999
STT,State Street Corp.,Financials,Diversified Financial Services,,78.690002
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,84.720001
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,25.6100005
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,20.27
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,51.5999985
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,579.039978
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,72.5680008
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,53.50999825
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,53.3250008
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,67.410004
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,78.43
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,19.23
GILD,Gilead Sciences,Health Care,Biotechnology,,20.5200005
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,29.290001
BSX,Boston Scientific,Health Care,Health Care Equipment,,10.58
STT,State Street Corp.,Financials,Diversified Financial Services,,76.389999
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,91.910004
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,184.320007
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,21.625
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,47.1571425714
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.5
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,62.55250175
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,47.099998
STT,State Street Corp.,Financials,Diversified Financial Services,,43.139999
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,780.369995
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,17.8099994286
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,79.010002
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,54.91
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,326
GILD,Gilead Sciences,Health Care,Biotechnology,,17.955
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,70.690002
STT,State Street Corp.,Financials,Diversified Financial Services,,73.389999
BSX,Boston Scientific,Health Care,Health Care Equipment,,20.75
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,745.809998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,66.43
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,128.929993
STT,State Street Corp.,Financials,Diversified Financial Services,,47.169998
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,65.269997
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,64.2828598571
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,19.7828578571
STT,State Street Corp.,Financials,Diversified Financial Services,,36.279999
BSX,Boston Scientific,Health Care,Health Care Equipment,,5.66
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,117.889999
STT,State Street Corp.,Financials,Diversified Financial Services,,31.59
GILD,Gilead Sciences,Health Care,Biotechnology,,49.349998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,15.48
STT,State Street Corp.,Financials,Diversified Financial Services,,39.560001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,44.807499
GILD,Gilead Sciences,Health Care,Biotechnology,,22.2700005
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,79.5
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,37.2820015
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,23.3549995
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,77.669998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,19.780001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,85.82
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,22.309
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,77.110001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,13.5699997143
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,58.439999
GILD,Gilead Sciences,Health Care,Biotechnology,,19.49
BSX,Boston Scientific,Health Care,Health Care Equipment,,21.48
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,56.869999
STT,State Street Corp.,Financials,Diversified Financial Services,,67.07
GILD,Gilead Sciences,Health Care,Biotechnology,,101.660004
STT,State Street Corp.,Financials,Diversified Financial Services,,43.450001
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,153.710007
GILD,Gilead Sciences,Health Care,Biotechnology,,105.129997
GILD,Gilead Sciences,Health Care,Biotechnology,,100.459999
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,76.769997
BSX,Boston Scientific,Health Care,Health Care Equipment,,17.540001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,88.839996
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,67.190002
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,315.369995
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,33.48143
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,20.07250025
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,13.5314282857
GILD,Gilead Sciences,Health Care,Biotechnology,,20.4750005
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,22.0699995
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,76.419998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,12.66
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,421.190002
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,320.51001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,32.6899985714
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,48.470001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,9.53285699999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,68.879997
GILD,Gilead Sciences,Health Care,Biotechnology,,22.7299995
GILD,Gilead Sciences,Health Care,Biotechnology,,21.629999
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,94.669998
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,44.759998
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,18.295
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,40.44749825
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,13.99
STT,State Street Corp.,Financials,Diversified Financial Services,,66.309998
GILD,Gilead Sciences,Health Care,Biotechnology,,37.8600005
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,58.950001
